SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
522134,ARTSON ENG  ,B ,Q,56.65,60.80,56.65,58.05,58.05,57.95,195,49959,2966273.00,
522150,ADITYA FORGE,T ,Q,3.77,3.77,3.77,3.77,3.77,3.95,1,10,37.00,
522152,SOLITAIR MC ,T ,Q,17.75,19.45,17.70,19.35,19.45,18.55,34,6953,133326.00,
522163,DIAMONPOWER ,B ,Q,39.90,41.00,39.50,39.85,39.85,39.85,280,46709,1874078.00,
522165,INDSIL HYD  ,B ,Q,39.70,41.85,39.70,40.05,39.80,41.15,45,3485,139529.00,
522175,SHIVVANI OIL,B ,Q,7.62,8.20,7.62,8.01,8.01,7.98,18,6669,53829.00,
522183,ITL INDUSTRS,B ,Q,51.05,52.00,48.10,50.15,50.15,47.85,74,18328,908585.00,
522195,FRONTIER SPR,B ,Q,28.00,29.50,27.55,28.10,28.05,27.70,21,3784,108553.00,
522205,PRAJ IND.LTD,B ,Q,115.00,116.35,112.00,114.00,114.00,114.15,2651,278155,31971861.00,
522207,RASANDIK ENG,B ,Q,81.00,81.90,77.20,78.25,78.25,79.50,87,10862,863943.00,
522215,SWISS GLASS ,B ,Q,122.00,125.00,120.00,122.00,122.00,120.00,128,9848,1215818.00,
522217,GUJ APOIND  ,B ,Q,138.00,138.50,134.00,134.90,134.80,134.90,76,3189,432362.00,
522229,TANEJA AERO.,B ,Q,121.00,121.70,114.00,114.80,114.80,120.20,552,93994,10994275.00,
522231,CONART ENG. ,B ,Q,22.00,23.00,21.60,23.00,23.00,22.00,8,379,8569.00,
522233,VHCLINDUS   ,B ,Q,1.40,1.45,1.33,1.35,1.35,1.35,108,327714,452899.00,
522235,MINAL IND   ,T ,Q,1.11,1.20,1.10,1.20,1.20,1.15,6,3084,3495.00,
522241,M.M.FORGINGS,B ,Q,691.75,691.75,645.00,661.50,660.00,692.75,633,9931,6510606.00,
522249,MAYUR UNIQ. ,B ,Q,420.00,427.90,416.40,422.50,423.00,420.70,472,19353,8169187.00,
522251,CENLUB INDUS,B ,Q,25.00,26.00,24.75,24.95,24.90,23.90,22,1291,32900.00,
522257,RAJOO ENGIN.,B ,Q,18.70,19.90,18.50,19.40,19.40,18.15,1441,557216,10725319.00,
522259,KALINDEE RAI,B ,Q,110.70,112.80,109.20,112.20,112.20,110.20,225,15633,1740027.00,
522261,DOLPHIN OFF.,B ,Q,127.60,128.80,123.40,123.80,124.00,125.70,529,26179,3301945.00,
522263,JMC PROJECTS,B ,Q,272.40,286.00,268.10,280.60,281.00,267.80,702,17595,4895850.00,
522267,VEEJAY LAKSH,T ,Q,54.30,55.10,52.55,55.10,55.10,52.50,26,2570,140302.00,
522275,ALSTOMT&D   ,A ,Q,548.00,554.75,534.00,539.90,539.90,540.95,1421,43904,23884674.00,
522281,RAM RAT.WIRE,T ,Q,40.00,41.40,39.00,40.90,40.90,40.00,51,7234,288655.00,
522285,JAY NECO IND,B ,Q,8.92,9.65,8.82,9.02,9.02,8.87,323,103272,961485.00,
522287,KALPA.POWER ,B ,Q,277.10,287.35,270.60,284.60,284.60,273.65,1370,62031,17379833.00,
522292,CHANDNI TE  ,T ,Q,1.25,1.30,1.20,1.26,1.30,1.25,9,18403,22616.00,
522294,T & I GLOBAL,B ,Q,14.20,14.70,14.20,14.20,14.70,14.00,4,102,1448.00,
